instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j30,35,proactive_SAA_smart,60,True,152.0,4.811708927154541,0.0005052089691162109,"[0, 9, 17, 9, 59, 25, 114, 0, 64, 39, 17, 96, 76, 25, 50, 84, 126, 92, 147, 39, 84, 129, 142, 76, 31, 106, 132, 131, 45, 89, 95, 152]","[0, 6, 2, 8, 2, 4, 12, 5, 11, 9, 7, 5, 6, 10, 8, 1, 1, 3, 2, 6, 5, 1, 5, 1, 6, 4, 8, 3, 1, 1, 1, 0]",SAA_smart,127.0
j30,35,proactive_SAA_smart,60,True,152.0,4.811708927154541,0.0005178451538085938,"[0, 9, 17, 9, 59, 25, 114, 0, 64, 39, 17, 96, 76, 25, 50, 84, 126, 92, 147, 39, 84, 129, 142, 76, 31, 106, 132, 131, 45, 89, 95, 152]","[0, 8, 2, 7, 5, 3, 6, 9, 9, 6, 5, 6, 8, 10, 8, 1, 3, 3, 5, 5, 3, 2, 4, 1, 7, 6, 9, 7, 1, 1, 1, 0]",SAA_smart,123.0
j30,35,proactive_SAA_smart,60,True,152.0,4.811708927154541,0.0004630088806152344,"[0, 9, 17, 9, 59, 25, 114, 0, 64, 39, 17, 96, 76, 25, 50, 84, 126, 92, 147, 39, 84, 129, 142, 76, 31, 106, 132, 131, 45, 89, 95, 152]","[0, 7, 2, 5, 5, 3, 6, 7, 8, 8, 4, 6, 5, 10, 5, 1, 1, 1, 3, 5, 3, 1, 4, 1, 5, 6, 6, 3, 1, 1, 1, 0]",SAA_smart,101.0
j30,36,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 12, 6, 1, 1, 5, 3, 6, 1, 1, 1, 1, 2, 1, 1, 4, 2, 2, 5, 3, 1, 1, 1, 2, 2, 3, 2, 6, 7, 4, 1, 0]",SAA_smart,69.0
j30,36,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 11, 7, 1, 2, 6, 2, 6, 2, 2, 1, 1, 2, 1, 1, 5, 2, 5, 6, 4, 1, 1, 1, 6, 3, 2, 1, 6, 5, 5, 1, 0]",SAA_smart,75.0
j30,36,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 10, 4, 1, 2, 5, 2, 5, 1, 1, 1, 1, 1, 1, 1, 3, 4, 6, 3, 2, 1, 1, 1, 5, 3, 4, 1, 8, 7, 5, 1, 0]",SAA_smart,71.0
j30,36,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 7, 3, 1, 1, 4, 2, 5, 2, 2, 1, 1, 1, 1, 3, 2, 3, 5, 5, 3, 1, 2, 1, 3, 4, 6, 2, 4, 5, 7, 1, 0]",SAA_smart,69.0
j30,36,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 8, 7, 1, 1, 6, 2, 6, 1, 1, 1, 1, 1, 1, 2, 4, 5, 3, 2, 2, 1, 2, 1, 2, 3, 4, 1, 8, 8, 6, 1, 0]",SAA_smart,69.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0006630420684814453,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 3, 2, 10, 6, 5, 1, 9, 11, 4, 1, 2, 10, 2, 6, 4, 2, 7, 2, 7, 2, 5, 7, 4, 1, 2, 7, 7, 2, 5, 3, 0]",SAA_smart,100.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0005152225494384766,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 5, 1, 6, 12, 5, 1, 7, 11, 5, 2, 1, 10, 2, 2, 2, 2, 8, 5, 7, 3, 2, 6, 4, 1, 3, 6, 4, 2, 8, 2, 0]",SAA_smart,100.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0005152225494384766,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 3, 2, 10, 8, 8, 1, 6, 11, 7, 2, 1, 6, 1, 3, 5, 3, 7, 3, 5, 4, 3, 6, 5, 1, 4, 9, 6, 2, 5, 5, 0]",SAA_smart,108.0
j30,37,proactive_SAA_smart,60,True,139.0,36.45243787765503,0.0004930496215820312,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 4, 1, 6, 8, 6, 1, 7, 9, 8, 1, 1, 6, 1, 3, 3, 2, 8, 2, 5, 3, 6, 5, 2, 1, 5, 8, 3, 2, 8, 5, 0]",SAA_smart,97.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0005190372467041016,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 2, 1, 10, 11, 8, 1, 7, 6, 8, 1, 1, 11, 3, 6, 3, 2, 5, 4, 9, 2, 2, 7, 3, 1, 4, 9, 4, 1, 6, 5, 0]",SAA_smart,106.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0004878044128417969,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 3, 1, 10, 10, 6, 1, 8, 12, 4, 2, 1, 8, 1, 3, 4, 1, 5, 4, 6, 4, 3, 7, 4, 1, 2, 5, 4, 2, 4, 3, 0]",SAA_smart,94.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0004961490631103516,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 5, 2, 7, 12, 8, 1, 10, 9, 4, 2, 2, 6, 2, 4, 5, 2, 9, 3, 5, 3, 2, 6, 3, 1, 3, 5, 3, 1, 6, 5, 0]",SAA_smart,96.0
j30,37,proactive_SAA_smart,60,True,139.0,36.45243787765503,0.0004949569702148438,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 2, 1, 6, 11, 7, 1, 9, 11, 5, 1, 1, 9, 1, 2, 3, 1, 7, 5, 9, 4, 4, 3, 3, 1, 5, 5, 3, 1, 6, 3, 0]",SAA_smart,99.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.0010099411010742188,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 2, 1, 9, 6, 5, 1, 8, 10, 8, 2, 1, 9, 3, 5, 5, 3, 8, 4, 8, 3, 6, 6, 4, 1, 2, 9, 3, 2, 7, 2, 0]",SAA_smart,103.0
j30,37,proactive_SAA_smart,60,True,138.0,36.45243787765503,0.00066375732421875,"[0, 0, 55, 29, 5, 68, 54, 17, 17, 126, 66, 94, 43, 110, 29, 76, 40, 76, 35, 57, 100, 94, 87, 105, 124, 134, 85, 113, 85, 126, 120, 138]","[0, 5, 2, 11, 7, 4, 1, 8, 8, 6, 1, 1, 7, 1, 2, 2, 1, 6, 5, 8, 3, 6, 4, 4, 1, 3, 6, 3, 1, 6, 6, 0]",SAA_smart,98.0
j30,38,proactive_SAA_smart,60,True,100.0,46.07960295677185,0.0005068778991699219,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 1, 1, 5, 9, 3, 1, 1, 1, 2, 8, 2, 3, 7, 4, 1, 3, 4, 2, 5, 1, 1, 7, 1, 1, 8, 6, 6, 10, 6, 0]",SAA_smart,78.0
j30,38,proactive_SAA_smart,60,True,101.0,46.07960295677185,0.0004360675811767578,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 3, 1, 5, 7, 5, 2, 3, 1, 2, 5, 1, 2, 4, 2, 1, 2, 3, 5, 5, 1, 2, 4, 1, 1, 9, 3, 5, 9, 9, 0]",SAA_smart,72.0
j30,38,proactive_SAA_smart,60,True,100.0,46.07960295677185,0.00046372413635253906,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 1, 2, 2, 8, 8, 2, 1, 2, 1, 2, 5, 1, 5, 3, 2, 1, 3, 5, 4, 5, 1, 2, 4, 1, 1, 7, 5, 8, 9, 6, 0]",SAA_smart,74.0
j30,38,proactive_SAA_smart,60,True,100.0,46.07960295677185,0.00046181678771972656,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 3, 1, 4, 8, 4, 2, 1, 1, 1, 4, 1, 5, 4, 3, 1, 3, 5, 2, 3, 1, 2, 8, 2, 1, 12, 4, 8, 9, 8, 0]",SAA_smart,80.0
j30,38,proactive_SAA_smart,60,True,101.0,46.07960295677185,0.00047898292541503906,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 2, 1, 7, 10, 5, 1, 3, 1, 1, 8, 2, 2, 7, 4, 1, 2, 3, 4, 7, 1, 2, 5, 1, 1, 8, 6, 8, 6, 9, 0]",SAA_smart,80.0
j30,38,proactive_SAA_smart,60,True,100.0,46.07960295677185,0.0005192756652832031,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 3, 1, 5, 6, 4, 2, 3, 1, 1, 8, 2, 4, 5, 4, 1, 2, 3, 4, 5, 1, 1, 5, 1, 1, 10, 2, 5, 8, 6, 0]",SAA_smart,74.0
j30,38,proactive_SAA_smart,60,True,101.0,46.07960295677185,0.0004608631134033203,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 1, 1, 4, 11, 2, 2, 2, 1, 2, 4, 2, 5, 4, 3, 1, 4, 3, 2, 7, 1, 3, 4, 2, 1, 6, 5, 5, 8, 9, 0]",SAA_smart,71.0
j30,38,proactive_SAA_smart,60,True,101.0,46.07960295677185,0.0004591941833496094,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 1, 2, 4, 11, 5, 2, 2, 1, 2, 4, 1, 3, 3, 2, 1, 4, 3, 5, 7, 1, 3, 4, 2, 1, 9, 5, 5, 8, 9, 0]",SAA_smart,74.0
j30,38,proactive_SAA_smart,60,True,101.0,46.07960295677185,0.00046634674072265625,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 2, 1, 1, 4, 11, 2, 3, 1, 1, 1, 6, 1, 3, 6, 2, 1, 2, 2, 3, 5, 1, 2, 4, 1, 1, 9, 2, 5, 8, 9, 0]",SAA_smart,68.0
j30,38,proactive_SAA_smart,60,True,100.0,46.07960295677185,0.00047087669372558594,"[0, 21, 11, 19, 20, 86, 30, 0, 23, 26, 21, 3, 11, 35, 14, 69, 41, 64, 35, 14, 42, 40, 69, 55, 84, 63, 72, 49, 27, 90, 92, 100]","[0, 1, 3, 2, 7, 9, 5, 3, 3, 1, 2, 7, 2, 5, 7, 5, 1, 4, 2, 2, 3, 1, 1, 7, 2, 1, 12, 3, 4, 8, 7, 0]",SAA_smart,79.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0005471706390380859,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 2, 7, 10, 6, 3, 9, 2, 6, 1, 3, 5, 8, 6, 3, 6, 1, 1, 2, 4, 6, 5, 6, 3, 7, 7, 1, 4, 6, 2, 3, 0]",SAA_smart,94.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.00048613548278808594,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 3, 5, 7, 11, 3, 7, 1, 10, 1, 4, 4, 4, 5, 4, 5, 1, 1, 3, 3, 3, 5, 6, 1, 4, 8, 1, 5, 9, 1, 6, 0]",SAA_smart,94.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0004658699035644531,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 2, 6, 6, 10, 3, 8, 3, 7, 1, 3, 5, 7, 6, 5, 5, 3, 1, 1, 4, 4, 3, 5, 1, 5, 5, 1, 4, 6, 2, 6, 0]",SAA_smart,89.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0005030632019042969,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 1, 4, 11, 11, 6, 11, 3, 8, 1, 7, 7, 7, 2, 5, 8, 1, 1, 1, 6, 3, 2, 6, 3, 3, 7, 2, 7, 6, 2, 4, 0]",SAA_smart,105.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.00047278404235839844,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 1, 6, 10, 10, 2, 10, 2, 12, 1, 7, 5, 4, 4, 5, 5, 3, 1, 1, 4, 4, 2, 3, 3, 5, 5, 1, 4, 7, 1, 3, 0]",SAA_smart,98.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0005078315734863281,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 3, 5, 8, 7, 6, 8, 1, 11, 1, 3, 5, 4, 3, 5, 5, 2, 1, 2, 6, 6, 5, 2, 1, 6, 6, 1, 7, 5, 2, 3, 0]",SAA_smart,91.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0004971027374267578,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 2, 7, 7, 7, 2, 11, 1, 10, 1, 5, 7, 8, 4, 2, 7, 2, 2, 2, 4, 6, 5, 2, 3, 3, 9, 2, 5, 9, 1, 5, 0]",SAA_smart,99.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0005130767822265625,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 1, 7, 6, 6, 6, 11, 3, 7, 1, 3, 8, 7, 2, 3, 6, 1, 1, 3, 5, 5, 5, 5, 3, 6, 8, 2, 7, 8, 1, 7, 0]",SAA_smart,101.0
j30,40,proactive_SAA_smart,60,True,131.0,25.26974391937256,0.0004830360412597656,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 1, 4, 9, 9, 2, 9, 2, 12, 1, 4, 4, 6, 4, 4, 4, 3, 1, 2, 6, 2, 6, 6, 3, 4, 8, 2, 7, 6, 1, 4, 0]",SAA_smart,100.0
j30,40,proactive_SAA_smart,60,True,130.0,25.26974391937256,0.0004737377166748047,"[0, 12, 22, 0, 36, 30, 95, 62, 22, 109, 15, 54, 15, 48, 89, 75, 65, 123, 106, 83, 68, 125, 75, 120, 113, 111, 30, 68, 83, 123, 106, 130]","[0, 3, 4, 6, 8, 6, 7, 3, 6, 1, 3, 7, 5, 2, 6, 7, 3, 2, 1, 6, 5, 2, 2, 1, 7, 6, 2, 7, 6, 1, 5, 0]",SAA_smart,92.0
j30,41,proactive_SAA_smart,60,True,52.0,4.0186591148376465,0.000576019287109375,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 8, 1, 10, 1, 4, 2, 11, 2, 5, 6, 2, 6, 6, 1, 7, 5, 6, 1, 3, 6, 9, 9, 1, 5, 2, 3, 4, 8, 9, 7, 0]",SAA_smart,43.0
j30,41,proactive_SAA_smart,60,True,52.0,4.0186591148376465,0.000514984130859375,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 6, 1, 12, 1, 4, 2, 11, 1, 6, 7, 1, 6, 3, 1, 6, 6, 4, 2, 2, 7, 6, 7, 2, 7, 2, 3, 5, 10, 7, 10, 0]",SAA_smart,44.0
j30,41,proactive_SAA_smart,60,True,51.0,4.0186591148376465,0.0005042552947998047,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 5, 1, 11, 2, 4, 1, 6, 1, 6, 8, 2, 4, 3, 1, 12, 4, 5, 2, 4, 8, 8, 11, 2, 6, 4, 2, 2, 8, 7, 7, 0]",SAA_smart,43.0
j30,41,proactive_SAA_smart,60,True,53.0,4.0186591148376465,0.0005030632019042969,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 8, 1, 10, 1, 3, 1, 7, 2, 8, 6, 1, 6, 4, 1, 9, 6, 2, 2, 2, 7, 9, 10, 2, 7, 3, 2, 2, 8, 5, 11, 0]",SAA_smart,44.0
j30,41,proactive_SAA_smart,60,True,53.0,4.0186591148376465,0.0005118846893310547,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 7, 1, 10, 2, 4, 1, 8, 1, 9, 6, 1, 3, 6, 2, 6, 5, 5, 2, 4, 8, 9, 8, 1, 3, 3, 4, 4, 8, 5, 11, 0]",SAA_smart,42.0
j30,41,proactive_SAA_smart,60,True,53.0,4.0186591148376465,0.0005047321319580078,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 6, 1, 8, 1, 3, 1, 11, 2, 6, 8, 2, 6, 4, 1, 11, 3, 3, 2, 5, 4, 6, 9, 2, 4, 4, 3, 2, 10, 8, 11, 0]",SAA_smart,43.0
j30,41,proactive_SAA_smart,60,True,51.0,4.0186591148376465,0.0005080699920654297,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 5, 1, 9, 2, 3, 2, 7, 1, 9, 11, 1, 2, 5, 2, 7, 3, 2, 1, 4, 7, 9, 8, 1, 3, 3, 5, 5, 9, 6, 8, 0]",SAA_smart,41.0
j30,41,proactive_SAA_smart,60,True,52.0,4.0186591148376465,0.0005009174346923828,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 9, 1, 9, 1, 3, 2, 10, 2, 7, 10, 1, 4, 2, 2, 9, 3, 2, 1, 3, 6, 6, 6, 1, 6, 2, 3, 4, 10, 9, 9, 0]",SAA_smart,42.0
j30,41,proactive_SAA_smart,60,True,52.0,4.0186591148376465,0.0005099773406982422,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 8, 1, 9, 2, 5, 2, 9, 2, 9, 9, 1, 6, 6, 1, 9, 6, 2, 2, 3, 5, 5, 8, 1, 5, 2, 4, 4, 7, 9, 6, 0]",SAA_smart,42.0
j30,41,proactive_SAA_smart,60,True,52.0,4.0186591148376465,0.0005388259887695312,"[0, 2, 0, 1, 36, 2, 11, 0, 0, 9, 13, 29, 21, 18, 40, 1, 27, 34, 27, 24, 13, 25, 13, 35, 29, 37, 38, 36, 42, 43, 42, 51]","[0, 9, 1, 10, 1, 4, 2, 9, 2, 9, 12, 1, 3, 4, 2, 12, 4, 2, 1, 4, 8, 6, 6, 1, 3, 5, 3, 2, 10, 8, 8, 0]",SAA_smart,41.0
j30,42,proactive_SAA_smart,60,True,67.0,1.0344841480255127,0.0005939006805419922,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 11, 5, 10, 3, 5, 8, 2, 6, 3, 2, 2, 2, 10, 3, 5, 1, 1, 12, 5, 1, 10, 2, 6, 7, 7, 4, 1, 8, 2, 2, 0]",SAA_smart,63.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.00047278404235839844,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 7, 3, 6, 4, 5, 6, 3, 6, 2, 3, 1, 1, 11, 5, 5, 2, 1, 6, 6, 1, 12, 2, 3, 6, 6, 6, 1, 4, 2, 2, 0]",SAA_smart,63.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.00047779083251953125,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 10, 4, 10, 3, 7, 6, 4, 6, 2, 3, 2, 1, 8, 3, 3, 1, 1, 7, 6, 1, 12, 2, 6, 8, 4, 5, 1, 4, 1, 1, 0]",SAA_smart,64.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0005199909210205078,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 8, 5, 7, 6, 8, 7, 2, 6, 5, 5, 2, 2, 11, 5, 3, 1, 1, 11, 7, 1, 11, 1, 4, 9, 6, 5, 1, 4, 2, 1, 0]",SAA_smart,64.0
j30,42,proactive_SAA_smart,60,True,67.0,1.0344841480255127,0.0004889965057373047,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 9, 2, 10, 7, 5, 5, 6, 8, 2, 3, 1, 2, 10, 3, 4, 1, 1, 8, 7, 1, 10, 1, 6, 6, 7, 3, 1, 4, 1, 2, 0]",SAA_smart,62.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0004899501800537109,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 7, 4, 10, 7, 6, 7, 2, 7, 4, 4, 1, 1, 6, 3, 5, 1, 1, 12, 3, 1, 12, 2, 3, 7, 4, 6, 1, 6, 1, 2, 0]",SAA_smart,64.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0005087852478027344,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 11, 2, 7, 3, 5, 8, 3, 7, 4, 3, 1, 1, 9, 2, 6, 2, 1, 6, 6, 1, 7, 1, 6, 5, 3, 5, 1, 5, 2, 2, 0]",SAA_smart,60.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0005102157592773438,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 11, 2, 11, 3, 8, 7, 5, 10, 4, 4, 1, 1, 11, 5, 6, 2, 1, 11, 4, 1, 8, 1, 5, 5, 3, 6, 1, 6, 2, 1, 0]",SAA_smart,61.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0005140304565429688,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 12, 4, 6, 6, 4, 5, 6, 11, 4, 5, 2, 1, 10, 5, 3, 2, 1, 8, 7, 1, 10, 2, 5, 8, 6, 5, 1, 6, 2, 1, 0]",SAA_smart,64.0
j30,42,proactive_SAA_smart,60,True,66.0,1.0344841480255127,0.0005018711090087891,"[0, 32, 0, 5, 0, 14, 5, 26, 7, 5, 0, 22, 51, 22, 25, 18, 34, 46, 37, 38, 25, 10, 58, 32, 49, 60, 60, 42, 54, 47, 16, 66]","[0, 9, 3, 10, 6, 6, 9, 6, 6, 5, 5, 1, 2, 11, 3, 3, 1, 1, 8, 5, 1, 6, 1, 3, 9, 3, 6, 1, 8, 1, 2, 0]",SAA_smart,65.0
